input|output
  Yes, I did! I sent your invite in the mail!| The mail?! Who reads the mail! I just stack all my mail in a tall pile until it falls over, heh heh, then I shred it to use as cascarones!  So uh, can I party with you?
  Only if you promise to stop acting nanners.| Nanners, well I don't even know the meaning of the word.
 Other| Whoo ooh! Party time, right guys?! Whooo hooo! 
  Ice King, what are you doing in my bedroom?!| Baby, I was trying to surprise you by moving you to my place while you sleep, then have you wake up to breakfast in bed, but now you've ruined the surprise, way to go.
  Do you think I like being kidnapped is that what you think I want!| Okay, here we go, you're the victim right? You know what, since day one I've been doing everything to make this relationship work and for what?!
  Banana Guards! | Babe, come on, we promised we wouldn't make our problems public 
   Take him out. | No, baby! What are you doing?!  Baby bear!  This is just so crazy, if you can honestly look into your heart and tell me you want me to leave, I'll go!
   Okay, leave.|  Uh-what? D-did you look in your heart, like all around it?
   Yes.| I see. Then obviously you have got some heavy emotions stirring in you and you have said some very rash things.  Guards! Take me away! 
  Ice King, get out of Princess-| I'm leaving! 
 Other| Uh, I don't know, did I say the right thing? I can never tell with that girl.   All I can think about... is you, baby girl. I gotta leave Ooo, start somewhere fresh.  Goodbye, Gunter, you're the... man of the house now. 
 Other| Oh, clam balls! 
 Other| Where am I?  Hmm, no signs of life. Just me and these palm fronds,  And that bird over there.  Well, won't be needing this anymore,   I miss her, man.  Hello?  Is someone here?  Must be from somewhere.  There, now I can look around and- sweet mother of Glob! This island doesn't have a lady - this island is a lady!
  Oh, hello there!| Hello.
  Is my singing bothering you?| No.
  ...What?!| No!
  What?| No!!
 ...What?| Ugh, hold on a sec! 
  I asked if my singing was bothering you.|  No, um, not at all, in fact it was quite enchanting.
  I always sing when by boyfriend is away.| Boyfriend?
  Yeah, Party God, do you know him?| Oh eh, sure, I mean, I know of him.
  Oh no, that's him, quick hide! He gets crazy jealous!| Crazy jealous?! 
  |  Ugh, what a wad bag.
  Oh, he's okay... sometimes.|  Gurl, he's no good for you.
   I know.| Ah, who am I kidding. My GF, Princess Bubblegum, treats me like poopies too. The expression on your face when he bounced out on ya, well, I might as well have been lookin' in mirror.
  Neglected lovers party of two! |  Yeah, that's us.
  Well, I like you. You're welcome to stay here as long as you want.| Are you sure?
  Yes, I appreciate your company. |  Yeah, well, PB is just so closed off to her emotions, she crushes the relationship so she doesn't ever have to develop feelings.
  I don't even matter to Party God, he just parties all the time. He doesn't even notice if I'm there or not.| Oh, that's terrible, at least Bubblegum cares if I'm there.
  Sometimes, I wish he would just go into outer space so I'd never have to see him again.| Yeah, he's awful, you shouldn't have to put up with that.
  Yeah, that's true.| Yeah, girl.
  ...I'm gonna break up with him!|  Yeah, girl!
  | Oh, snaps! Good luck! 
  Ugh! You're killing me babe, ouuuuu |  Uh! What was that?!
  Uh...| You should have been like
  I-| Whatever, I'm gonna break up with him for ya'! 
  | Hey, yo! Yo, dog! I need to talk to you.
  Who are you?!| I'm Ice King, we sort of met that time at Peppermint Butler's. Anyway, I've been spending lots of time with your girlfriend, and she re-.
  Whaaaat?!! Hey wait, you're the guy who's been living on her stomach.| Yeah, but no! It was strictly platonic! I wasn't hitting on her or anything.
  There's going to be two hits, bro, me hitting you and a second instance of me hitting you. | Whoa mama!  L-let's talk this out! Think about what's best for her- Ice Lightening!! 
  | Wowzers! 
  Aa yeah, run blue piggy! | Take it easy, wolfy, I just stomped grapes on her tummy, alright! Ahh! Bread balls bread balls bread balls!  Psych!  Eat it, party puppy! 
   Face it bro, my divinity is unassailable. You should have stayed out of my business.|"  She is not your ""bid-ness""! "
"  I can dodge your ""zyaps"" for days "| Uh oh.  Hmmm.
  Whew.| 
  Fun cakes! | I've come to a decision, you ready to hear it? I'm breaking up with ya! You party too much, you never want to spend time with me and you only care about having fun and other people's stereos! I'm just a big island you can come and go from as you please!
  BANANA GUARDS!!| Banana Guard yourself, Princess!!  Ah, we'll work it out.
 I—need—soft—light!  Yeeargh!!| Yeeargh! How long has this been in here? I don't even remember buying this. Oh well—easy come, easy go.  Goodbye! Well, that wasn't so bad.   Hm. 
 Other|" Great news, fellas! I finished all my chores, so we can start movie night early. Take your sits and will reveal the nominees. We got ""Baby Ballet,"" ""Blimby's ""WHO GOTS DA ABC'S"","" ""Airplanes Taking Off,"" —  Oh, wait! What's this one? ""Basic Mortality"
 Other|"OK, all in favor of ""Baby Ballet""—raise your hands."
 Other|"OK, all in favor of Air—What!? ""Baby Ballet""? Come on! Ugh! I should have never given you penguins the right to vote. Well, you may have numbers on your side, but I still have one trick up my sleeve. Bargaining. Whereby, you let me watch ""Basic Mortality,"" and I in return will do anything you want in the whole world. How 'bout it?"
 Wenk.|Algebraic!
 Enough! Alan is not the super-murderer!|I don't know about this show though—
 This, captain, is the most lamentable super-murder I've ever seen—and I've seen plenty.|—might be a touch too dark.
 Guys, hold up! I got the password from the Ice King. Apparently, the barrier only responds to the voice of real wizards. | No way! I'm no rat! I am bound by the sacred trust of esoteric knowledge!
 Say the password, Ice King!|You think I'll just hand you the keys to the city? I'd rather die.
 Say the password.|Ow! My pinky!  Ow.  Thank you.  You know, no one has touched me in months. Could you touch me again?
 Password! Now!!'|"Ow! Ohh! Ohh! ""Wizards Rule!"" THE PASSWORD IS WIZARDS RULE!"" AAH--"
  And then I extract his forehead, right, Bufo?|  Ooh!
  Shush!| Whoa!
 No.| Psst! 
  Wait, I'm coming, too! I'm gonna eat popcorn and make hilarious jokes.  Aw, who ate all my popcorn?| You call this a room? There's not even a window. Oh, wait. Are we rolling?
 Hmm. Maybe...  Ice King, you know anything about cars?|Nope. Not a car guy—too confusing. Got better things to do with my life.
  Just until Gunter finishes rebuilding the Ice Kingdom.|"What y'all whisperin' about?  Hehe! Ex-""squeeze"" me. "
  Ice King, we've told you a thousand times|Sure it is.
 It isn't!|Mm, it's cozy.
  It's not that bad, Jake.|See?
  Finn, can I speak to you in the kitchen?|Oh, hey, Jake, can you bring me a sandwich?  Sandwich?
 It's time to kick Ice King out!! | Don't forget the bread! Haha!
 Checking him to a hotel room.|Oooh! Sandwich time! 
 We'll even put you up for few weeks until your place is ready.|"Ahh, but that sounds lonely. I just like to stay here with you guys! Having roommates is nice! It keeps me out of my head. Gunther says only ""Wenk!"" What's up with that?"
 No. I-I have another idea.|Oop. 
 A sexy wizard like you goes where he wants!| Whoa-oh! I see what's going on!
 What... You do? |Yeah! This wizard donk  is trying to jack my Tree House styles, just 'cause he beat me that one time at Wizard Battle! And if he takes one step closer, I'll bust him up one real good! I never asked to be... 
 I don't know, it's dumb! I'm still working on it! It's-It's nothing!|Oh, you're right that ain't nothing! Check out this wizar!  Whoa!  What?
  Ohh! You're the greatest wizard ever!|Well, maybe not ever ever! Am I the greatest wizard in our generation? Yes. 
  Yeah!| Finn!! Jake!! Come quick!! It's an emergency!! Hurry!! 
 Ice King? What's up?  Huh? What the flip?|Tada!
 Yeah? You guys liked it?|Well, then the second and third acts are gonna knock your socks off!
 Yes, if I ever had to walk, uh, outside at night, I might die of-of...| Of fright.
  Whoa!|See, I told you! Isn't it awesome? Eh, since I'm pretty much in charge here, we can totally take all this treasure if we wanted to.
 Wow! Cool! |Oh, that's just a byncomire.
 Ohh!|Wanna see something really cool?
 Yeah!|Okay, but you gotta promise not to freak out!
 Other|This is Joshua the Dog's Demon Blood Sword.
 |Yeah! It's a real demon blood sword.
 What?!|And you see these words?  If you say them out loud, you can actually see a vision of the demon whose blood was used to make the sword!
 No way! That sounds awesome! Too bad neither of us can read Demon Runes.|Ooh! I know how! Butyrum lac surepo kee oth pradium, like that!
 Other|Oops.
 Bring me the true bearer of my blood sword or I will destroy you both!|Come on, best friend,  let us not betray Finn! Let's fight Kee-Oth ourselves!
 You're wasting your powers on me. Haha!|Oh! No! Oh, no! He's too powerful!
  Uh, hey, so, uh, I should be getting home.| Uh, yeah, me, too. Hey, Abracadaniel, wanna hang out at my place?
 I thought your house broke.|Ice Kingdom's been rebuilt for weeks!
 And now, it will be yours.|And mine!
 What the blood?! Ice King!|Listen, dudes, all I want is to be in the club and plus up my magic. What's the problem?
 Stop that now, trash cones! Bella Noche must not cross into our world!|Eh, why not, again?
 You lose, Simon. Sorry, man. |Uh, huh?
 Other|This a party? Huh?
 Wizard City is saved!  |Whoa! Heh. Okay. Whoopee!
 Other|So then, Ron James told me this girl I was with flew into Bella Noche and mysteriously defeated it for me! Wow! 
 Other|Just my luck, right? Black out for a day and meet the woman of your dreams.
 I will get you!|Hey, don't be jealous, Muscle Princess. She's gone—kablooey. Let's be realistic, right? We both know you're not my top pick.
 Other|Oh, Grod!
 |No!
 Other|Aaah! Go home! You can go! Aah!
 Other|Gunter?
 Other|I don't think this is Gunter.
 It's me, Ice King.|Lumpy Space Princess?
 Yeah.|And you're doing this because you like me?
 No, Ice King, listen. I'm gonna give you the straight dope.|Okay.
 You're weird and old and you kidnap princesses.|I know!
 But I asked you here tonight because I wanna know what you think of this.|" ""The Prince Who Wanted Everything; A Fionna and Cake Adventure""? Hey, why isn't my name on there?"
 I want you to read it because you're their dad. Please be their dad right now and bring them to life!| Okay, might as well...at least until the cops show up. Ahem!
 Other|Once upon a time, there was a most handsome prince, the future king of Lumpy Space, Lumpy Space Prince.
 No!  That's not how I sound! Read it in a better voice!|Okay, Okay! Yeesh! 
 Son, come here at once!|But, all was not perfect for this philanthropic prince of the people.
 Other|His parents were slobbering monsters who didn't care that he was a beautiful prince! They wanted him to be a monster too.
 Hey! You're not supposed to read it like that. Say it in a nicer way!|I...Uh...I don't-
 Yes, your hotness!|And then, Lumpy Space Prince became so real that he can actually break through into this plane of existence. Woah!  And meet his one true love, Lumpy Space Princess. It was really happening. The secret portal began to shake and tremble.
 Other|The countdown began. 10, 9, 8, 7, 6, 5...
 Other|4, 3, 2, 1!
 Road trip!|Check out this sweet make out wagon!  Life giving magus bro!
 Yo, yo, yo!|Yo, yo.  Ron James bro!
 Whazzup!|Not much, not much.  Finn's old hat bro!
" Uh, name's ""Little Dude."""|Sure, sure.  Hey, uh..
 It's Beau.|Beau bro, right!  Leaf Man bro!  And, uh... Who's this guy?
" I don't know. We just picked him up. That's the kind of trip this is gonna be. It's a ""destiny will guide us"" kind of thing."| How 'bout we call you...Giuseppe.  That's right, Giuseppe.
 Just got one more stop. |Finn and Jake's crib? They won't come. They're out of our league.
 Wooo! |Uh, why'd we stop?
 We don't want to. We'd rather write.|I'll dance if dancing is needed.  Doo-doo doo doo-doo. Yah yah, doo-doo wah  Dance, dance, dancin' dance writing.  I'm dance, dance, dance, dancin'. Top of the bus, window...
 What's all the ruckus?! I own this pasture, so get back in your vehicle and get! |We can't! Our wheels fell off!  Back on the vehicle. I'll make a slick ice road. 
 Are you gone? I can't really see!| Oh! 
 Is there a problem?|I ran out of juice.
 Can I take over?|Yeah, maybe you should. Hey, let's switch headgear.  Ooh, it fits!  Yeah, girl, just let the ice magic flow.  Oh, b-but be careful, okay?
 What? |Oh!  Not me.  Nice ice road.
 Thanks. Hey, I don't think we're moving.|Uh, hold on.  Everyone, time to push the bus!
 Eh, I don't really want to.|Come on! Destiny!  Okay, back on the bus! Back on the bus!  Huh? Ooh, a crabapple tree. Giuseppe, make yourself useful and grab us some of them crabapples.  Okay, get ready. Jump! 
 Oh, no! Giuseppe can't catch up!|What?! Magus of Life Giving, take the wheel! 
 Don't touch me! |"Giuseppe, throw the crabapples!  Giuseppe?  We have lost Giuseppe.  Mm! Hmm? Well, let's see what old Giuseppe wrote.  Listen to this, everybody! ""These are not my tear drops, daughter dear, but just a sheen of dew that lingers here, past other fields where other fathers lie, who kept their daughters better far than I.""  What do you guys think?  What's wrong with you guys?"
 Look who's talking.|" Huh?  This is true art.  Well, let's see what you other guys wrote.  Little Dude, here's yours. ""Days don't have shades, directions with no ways, adjusting minimum scholarly curriculum to enrich empty minds, it takes refracted sunshines."" That is awesome. ""Take this light with your great might, free hearts that are gated seeing truth in things exaggerated."" Ah, some interesting spell combos going on guys."
 Ice King! I see the Butt Rock!|The hour of glory is upon us. Cauldron! 
 Smells so good down here! What's cooking? |
 Girls, we can help.  Okay, one, two, three! Lift! Ow! Ow. Um...let's get out of here. |No, don't go.  Hey, I could freeze all of us. Then we'd be safe from drowning, and once someone discovers our preserved bodies, we'll be saved! Be like, 200 years, tops! 
  Oh, I'm flying!| Yoink. Take my head away from here, baby!  No! 
 Wha?  Hey, it's Giuseppe! | Giuseppe, how have you done this? 
 What was he?|I don't know, Abracadaniel, but I think he was trying to show us something. Something new. 
 Bye, Berdzerd.  See you at the secret thing tonight!  Loser.| Giuseppe.
 Ice King, call it off.|Roger that, Princess. 
  What the? Ice King?| Yeah, I guess there's some cool people here, musics a little loud but the but the punch is top-drawer.
 Mm hmm|Hey, you should come to one of my parties sometime; I'm friends with some pretty cool people too you know?
 Uh huh, who are your friends?|Oh, uh- like that guy, Finn.
  Finn?!|Yeah, Finn and I are pretty tight!
  Oh, hi, are you the ice-dude?| That's me, ice-dude. . Hey, have you ever seen the inside of an ice bear cave?
  Hey, buddy, buddy! Care to freshen me up?! |Yeah, yeah, now scram.
 Hey, is Finn seeing anyone right now? Could you introduce us?  Oh my glob! Is he here now?! |So I guess you're more into the 'little brother-type'? Huh.
  Hey Lauren, I heard your grandpa's given out ice! | Ice?! I'll give you ice!  Oh, looks like I put this party- on ice. Oh wait, you want ice? You, oh, you got iced!  Anyway, oh, don't look at me like that Lauren. . Eh, this party was weak anyway.
  Ow! Mama's milk! Oh, my mama's milk! Oh, that milk! Graybles!|
"  ""I will marry you, Ice King. I will marry you, Ice King. I will marry you—"|  Good morning, madness.  What?! Broken leg again!  and...  Hup!  Hello! How are you?! Oh! Gunther, did you see how this happened?
 Other|I love you, Gunther, but I'm on to your business.
 (wakes up) Wenk!|Gunter? Aw, did baby have a bad dream? Let me get you a bottle.
 Wenk!|Huh? What's heatin' him?
 Hm.|Una— unacceptable. Mm... un-unacceptable. Unaccepta—aah!  Lemons! Whew! Mm.
 Other|Gunter? Y-you having a bad dream? Gunter?
 Other|Oh, my Glob. 
 Hello, Simon.| Oh, lady! Hi.
 Wait, you don't remember me?|Oh, man. I'm so sorry. I stalk a lot of ladies. Were you at Shelby's barbecue?
 Huh. Looks like you've lost it all the way. You've crossed the valley of tears and come out the other side but a shadow.|Oh, thanks.
 Well, all the better for you to...  submit.|I like where this is going.
 Sell your spirit to the skies. Surrender to The Empress eyes.|Empress, my darling! My great eternal love! How can I serve you?
  Bring me blood.|At once! 
 Other|Alley-oop! 
  Oh, this is so sad.|Here you go, my love.
 What's this? Don't you have any human?|Humans? Well, Finn's the only human around here. Try a penguin. 
 Ugh. |You know, Empress is a kind of penguin, and your name is Empress. That's kind of cool, right?
  Bleh. Tastes like cheese water. Where's the top-drawer stuff?|Oh, uh, don't be like that, Honey-poo. I'll fix it. I'll do anything for you.
 Bring me the blood of Finn!|Okay.
 Yeeegh! She doesn't have to know I broke the clock. Let's blame it on the vampires! Or we can hide it! Whoo! Problem solved? Yeah? Whooop!|Snap!
 Aaah! What was that?! Vampiyah! Aah! Aah! Hyah! Hah!|Snap, snap, snapping branches for fun
" Oh, ho, ho, this is riveting. ""The Empress is so nice. Today she let me polish her boots with my tongue. That's almost like kissing, right?"""|Hey! Who's my hunny bunny?!
 What has she done to you? Did she bite you?!|Hey, calm down. You're destroying the mood. I'm trying to get her to bite me later.
 Minion! Honestly, I'm standing right here as you collude against me with my sworn enemy. It's a bit rude.|Sorry.
 Ice King, bind the interlopers in ice.|Heh.
 Other|Let's keep it down, huh? My baby's resting.
 Aaaaaah! No way! Waaaaaaah!|Shush!
 Simon, you have to resist the Empress!|But she's a woman. Aha! Ohh.
 She's a vampire! I hunt vampires because of you!|Because of me?
  Staking vampires, protecting the last remaining humans, it felt like I was protecting you. It was the only thing that brought me happiness during those years.|Oh, Marceline! 
 Simon? A-are you remembering?|Pa-chazz!
 Please, Simon! Remember our history!|Our what now?
 Oh, Marceline. I heard everything. I was invisible. All your tiresome mortal emotions, they'll all be over soon.  Minion, I order you to kill Marceline.|Whaaa?? No way! She's my pal!
 Are you disobeying me?|Hey, it's called real talking.
 Here's our chance!|Please, baby, don't say that.
 You're my thrall.|I am enthralled by you!
 Squeeze!|Yaaaah!
 No!|Heuk!
 You got this comin'.|No!
 Simon, what are you doing?|Let me go! If you want to hurt my lady, you'll have to go through me!
 Now, Oaf! Kill her!|Sweetie, there's no need to raise your voice.
 What?! Okay, that's it. Turn and look at me.|Oh! Are we gonna gaze into each other's eyes again?
 You must fall deeper under my spell. Sell your spirit to the skies.|I can see myself in your pupils. Hee-hee.
 You're not even hypnotized. At all.|Them gigantic sparkly orbs of yours could hypnotize an earclops.
 So, you're not.|Eh-heh, no.
 You're stupid donkey|B-but honey, wh-why you being so mean to me?
 Because you're too thick to even fall under my spell. And you got no class.|Oh, so you're doing that? You're gonna start name-calling? You want to play the blame game?! Okay! Well, if you weren't so perfect and and pretty and statuesque and and
 Better late than never, I guess. |You remembered my song! 
 Simon? W-what are you doing here?|Well, I saw through my peeping scope that everything was going boom and exploding and monsters, and all my friends were in grave danger and horrible torment.
 And you wanted to help?|No! I felt left out. I'm just a phone call away, you know.
  I'm sorry, Simon. Next time, for sure.  Anyway, you don't want in on this fight. This one's a loser.|Oh, I see. Sittin' this one out, huh?
 Yeah, I guess. And don't try to talk me out of it.|What? No, no, I'm right there with you. You and me—we're survivors, right? Like cockroaches or rats. Sure, you could fight and try to save the day, but what if you lose? Then what? You could die. Better to rot and hide like a rat, right, buddy? 
 Ugh!  Did you just call me a cockroach, Simon?!|What? No! No, no, no, no.
 Thanks, buddy.|Yes.
 Or we could get a real good night's sleep and start fresh and early in the morning. Wenk, wenk.|All right! Where is he?!
 Man, Ice King, you better roll on.|Where are you hiding him?!
 Who are you talking about?|It's Gunter! He's gone missing!
 Other|You in there, Goontz?
 Come on, man, not the food.|Daddy's here to save you, Goonty!
 What makes you think we took him?|'Cause it's obvious You took Gunter, because Gunter is like your Jake.
 Wait, what?|Or maybe Gunter's like your Finn. The point is, you guys have always resented us for that fact, and that right there constitutes motive And conspiracy to harm my little road dog, Gunter!
 All right, all right, all right. Wenk, wenk.|Aww, look at the little guy.
 You want to try telling us what happened?|Okay, so, we were watching some young men's junior figure skating championships on the tube semi-finals. I went to the kitchen to fix us up something to eat. When I came back, he was gone.
 Simon! What's this?|It's a present. To bribe you for coming over.
 You don't have to bribe us, silly. We're here because we want to hang out with you.|"No one has ever said that to me before. You didn't say, ""No take backs."""
 Bottoms down.|So, check it out! I upgraded my home karaoke system. Do you like karaoke?
 Marceline?|Irslerskat prjon! Prjon, prjon Prrrrrrrrrrrrjon!
 No! Simon!|Hi, Marceline.
 Cool out, B-Bell. I know you love karaoke, but you can't take it so seriously.|I hope you like penguin cuisine. It's mostly just shapes.
 Here, Simon. I know these are your favos.|Thanks, Gunther!
 There's some wrong with Wait. You just called him Simon.|Call me whatever you want. This is the best date I've been on since my last date.
 This is not a date.|Neither was the last one. It was a robbery.
 For real?|Yeah. She stole my heart. And my crown.
 I don't see anything. These are just weird dots to me.|My place is trashed and I can't remember a thing. Great dinner party, huh?
 It's probably nothing. He's been good lately, but it's a big speech, you know.| Ohh. Ah.
 Hey Ice King!|Aah! I'm not doing anything wrong. I was just lady-watching.  Ow!
 Yay, sea lard!| Wow, what an adventure.
  And there was even a purple lady kind of like you, Ice King! She even sounded just like you.|She sounds magnificent! How'd you say you got there?
 We didn't. Beat it, creep.|I'll figure it out.
 But Simon, if you go there, you'll lose you memories.|What memories? I'm like a goldfish over here.
  In what way, exactly?|Oh, hey Jake.  Where am I?
 It's over, Ice King!|Oh, hi, guys.
 Yeah, man, you have, like, one muumuu, and you're wearing it.|You think this is about hangers? Really?
 You're stealing everyone's hangers, dude.|It's about so much more! Come back to my place, and I'll explain everything.
 Hmm.|See? I dropped my keys down this deep hole. I need all these hanger guys to help me snag 'em. When I'm done, I'll return them all, and that's an ice promise.
 How long has this crack been here?|Forever. Before forever. What the...  Oh! Something's got me!
 Let go of the hanger!|Huh?
 Let go!|Oh.
 This calls for an investigation.|All right. Stand back!  Follow me, fellas!
 Other|Watch your heads.
 Other|Holy moly! Do you know what this extra square footage means when I decide to sell?
 I don't know.|Well, no rest for the sexy.
 That's not the expression.|Boy, this is strong. A lot stronger than my ice. 
 Oh, boy, here we go.|Back off, son! I saw her first!
 Who's a good boy?|Ahem. They call me the Ice King. I also make ice. 
  Hup! Well, I think you're pretty groovy. Do you wanna, wanna, wanna, wanna be my acolyte?|Sure. What's that? Like a boyfriend?
 More like an intern.|Oh.
 Uh, no, you're right. It is more like a boyfriend.|Cool.
 YOU'RE COOL! Dialed in, you know?| Huh, what?
 I'm starting to get a weird feeling.|Oh, you must mean Slime Princess, Princess Bubblegum, and Flame Princess.
 Princesses?|We're like this!
 That is so fun. Okay now, this next request may sound super sketch.|Okay.
 I need you to round them up and bring them back here. Like, even if they don't want to come. You think you could do that?|Are you kidding? That's in my wheelhouse, right up my alley! Classic Ice King.
 So, wait, is it in your wheelhouse or up your alley?|Classic Ice King.
 Okay Jake---|Wow, you got their initials on there, and look at those shapes. We're kind of like a power couple.
 Get me those princesses.|You got it, boss.
 Wenk!|Great critique! 
 Wenk.|I don't need an editor. I'm my own editor -- editor-in-king!
 Other|"Ooh! My custom tape! Remix!  ""Sunlight gleamed through the window as Fionna sat patiently at the breakfast table."" "
  No one asked you, Flour Demon.|"That was like a cookbook... written by a genius. On to the next chapter -- ""A Game of Gumball."""
 I really did like her story, though. I wonder how that Ice President got elected.|Talk about life imitating art. Gunter, did you see what Daddy did? Did you guess the secret theme?
 Wenk!|No! You're way off! Fionna and Cake were at the breakfast table. Gumball consulted the periodic table. Flame Prince set fire to the table of contents. The...purple thing had a tablespoon of syrup. And Ice Queen...did a tabley thing, too, probably.
 Wenk!|They're not like regular stories. They're shorter. I'll call them...grabl-- No -- tables!
 I’m sorry! I’m sorry! I’m sorry!|Skyhooks!
 Looks like we got away before the candy curse became permanent.|That’s right. My skyhooks saved the day.
 Thanks for getting us out of there, Simon.|Aw, I can’t take all the credit. It’s all thanks to my skyhooks!
 Hey, why are you even up here?|We live here, now. Me and the skyhooks.
 ...butt.|Skyhooks!
 Other|" I said ""the end""!"
  Where do your ideas come from?|They're beamed into my melon at night - same as everybody else. Next!
 I have more of a criticism than a question.| I am very open to criticism!
 Your story was completely wrong.| And how would you know?
 Dude, I literally have one bazillion questions.  Uh, excuse me, Miss Fionna... Where did this video come fr-o-o-m!|Fionna! I always knew we'd meet one day and become best friends. So, uh, remember that time when Cake caught Ruse Goose, the notorious goose pickpocket?
 That was such a long time ago.|But during trial, you realized she was framed 'cause it was actually Abracadanielle pretending to be a goose all along!
 Can I also ask a question?|Besties only.
 I was just gonna ask if we could see more of the tape.|Oh, yeah, can we?
 Aw!|I want to see more.
 Library closes in five.  Click, click, click.|So, where you heading now?
 Guess I'll go back to the dump under the bridge where I live. I'd invite you over, but I don't have a sofa or TV or anything. It's literally a dump.|I have a TV. My crib is equipped.
 Oh, really?|Hey, you should move in! Please live with me, Fionna.
 Other|This is the sweet spot. My roo--  Oh! I wasn't expecting guests.  Not that you mind a bit of dirt, right?
 Other|Nice, huh?
 So, this is my room now.|Only the best for Fionna.
 Other|Oh yeah, I like this room too. It's where I do all my deep thinking. Man, I still can't believe it-- the Fionna in my bathroom, touching my toothbrush, throwing it into my little trash can. Fionna taking charge!
 That's what heroes do.|You're a so much better hero than Finn.
 I know.|Plus, don't tell Jake, but I've always been more of a cat person. Where is Cake the Cat?  Cake? Cake?
 Cake is gone. Some years back, there was an adventure mishap. I don't feel comfortable talking about it.|Oh, okay.
 Hey, you still haven't shown me where you keep your Fionna and Cake tapes.|Sorry, no can do.
 What? Don't you have tapes?|Oh, yeah, I got loads of tapes, but they're super private.
 Maybe you'll change your mind once you see more of my mummy adventure?|Yay! I'll get snacks.
 Okay, that's the end of the tape.|Really? My stories usually get wrapped up neater.  Wrapped up -- mummies.
 Yeah, well, there's no more, so...  You wouldn't know this, but old heroes need a lot of sleep.|I did know that.
 See you in the morning.| Okay.
 Other| Fionna? You awake? I made you a midnight snack.
  Mummy, we're home.| I knew it.
 That's right. I snuck in here to pretend to steal your stash and teach you a valuable lesson. Never invite strangers into your home, no matter how cool they seem and are. You should be thanking me really.|Of course. She didn't want me to see the end of the tape because she's not Fionna. She's... a mummy!  Aah!
 Come on. They're all just him?|Imposter! Reveal yourself! 
 Aah! Knock it off!|You're the knock-off!
 What?|You're not Fionna!
 How did you--|Show me your true form!
 Other|Aha! Huh? What kind of mummy are you supposed to be?
 No kind! I'm just an old lady.|Who likes to dress up as Fionna?
 It makes me feel confident, okay? Plus I look really good in this outfit.  Look, I used to be very shy, tinkering with my tech stuff all night, sleeping all day. But one evening, I intercepted a strange signal. I was mesmerized. I watched that tape like a hundred times before I finally stepped out of my cave a new woman, determined to find more Fionna and Cake. I roamed Ooo for years with no luck. But then I found out about you, and I hatched a plan to steal your tapes.|What? I don't have any Fionna and Cake tapes.
 I know! All of your tapes are filled with embarrassing diaries.|If I met them, I'd definitely record it.
 Fionna and Cake aren't real, you ding-dong! They're just, like, a TV show from the past or something.|You're the ding-dong, lady! You tricked an old, defenseless Ice King. 
 Look, I didn't mean to hurt you.|You lied to me. Fionna would never lie -- never.
 Wenk.|Huh? Well, that was disheartening.
  Aww.|Boy, this is great, huh? You and me out in the fresh air? Now, the key to being a tip-top salesman is to get the ol' foot in the door.
 Bodies don't talk, Ice King.|Well, mine does.
" Okay, then. If I say ""My feet hurt,"" you can go ""Woof woof."" That's my dogs barking."|BMO, I think we're gonna make an unbeatable team.
  I can't believe we unloaded that branch. It wasn't even our best one. Oh, my. Shield my eyes from the sun.|Why?
 How are your children?! Ice King, duck. Jump. Right. Right again.  Left. Jump, jump. Left. Right. Left. Ice King, you're doing so good. You have not bumped into anything.|BMO, where's the customer?
 Look. A house.|All I see is the inside of this coat.
  Oh, excuse my indigestion. |Ouch.
 That's a BMO guarantee.| Psst! Does Finn know you have his teeth? Because I don't think-
 They're made out of some kind of hard tooth-like material. Ouch. Ouch! Ice King, freeze these nightmare babies.|I'm not allowed to wear my crown. It's against BMO's dress code.
 Hmm. Maybe I sold too well.|Hey, you're a great salesman. Evil babies are not a problem for you. They're an opportunity.
 I'm sorry I caused such a mess. It's very bad for business.|Well, time to call it a day.  The ice man leaveth.
 Hey, wait. See you tomorrow, partner. |Until tomorrow.
  Yeah, I didn't draw that, but cool. Well, thanks for-|"Oh, yeah. But, uh, what if - and I'm just spitballin'. What if it was something more like, ""Hey, Doc! I got a caveman in my teeth!"" Huh?"
 Other|Haha! Whoo!
 Heh. Yeah. That's pretty good, I guess.|Oh, is this Ble? I love Ble! That one with the two cops who are always accidentally arresting each other.
" Right?! And ""Animal Quackers""!"|I've been mailing them my short stories and comics for as long as I can remember. But, uh, nary a piece published. Nary a piece.  Nary a piece! I hate Ble! Sittin' in their ivory towers! They don't know comedy! They don't understand the common folk! The busy woman on the go!
  The average Joe or Josephine! Right!|See? We got the goods, you and I, and they've lost their touch. Hey, if we want them to touch our goods, we should go down there and confront them face-to-face.
 And if I get my winning caption printed, everybody will know it's funny! I'm talking about you, BMO. But, uh, where do they print Ble?|Oh, yeah. I don't, uh... Oh! Oh! Yeah, hold this. I'll use my... demonic wishing eye!
 Hello, Ice King.|Hello, Wishy!
 What do you like to wish for?|I wish to go to Ble!
 Whoa. Why don't you just use that thing all the time?|Oh, it takes a piece of your soul each time you use it. But look! The legendary Bledquarters!
 Okay, what's our plan here?|Maybe if we eat all this ammo, he'll be forced to make more for us.
 You win. Fine. I've never let anyone inside before, so I hope you have an amazing pitch.|Hey! These are all my submissions! They kept them in a big pile by the door... Seems like a good sign!
