input|output
 That's not a barn. That's a dude!|Holy fizzle!  What's goin' on here, tough boy?  What is that huge dude?
   Train, Train, Train, Train!|Whoa!
 The Train is gonna smack you down on his tracks! Whoop!  Your caboose is mine!  Choo-choo. Choo-choo!|Oh, my Glob.
 Ow. My legs are backwards! Oh!  Oh, you're mean! |Did you just die?
 No... the Train will chug on. My friend makes bionic legs. I'll be better than before.| I want bionic legs! Who's your friend?
 You don't want bionic legs. It ain't natchy.|I don't care about natchy.
 You guys wanna fight me?| You think we can beat him?
 Yeah way, we can't! He's the ultimate!|But if we beat him, we'll be crazy legends.
 Man, I already am a legend in other aspects of life. Third highest score in Kompy's Kastle, bro.  Third... in the Candy Kingdom.|Jake, that's your legend. This could be our legend. Brogend!
 Okay. How are we gonna beat him, then?|Train!
 He can't even walk.|No, man, train up, like, get ripped!
 Yeah, I was just kiddin'. Let's destroy that guy! |We're comin' back for you, the Farm! After we train!
  Yeah, that's cool.|We're gonna annihilate you, the Farm!
 Mm'kay.|I'm gonna do a finishing move on you! Alright! Yeah!   C'mon, Jake!
  Whoof. |Hyah! Hyah!
  Nice one.|Yes!
 Now watch my... Something Style. |Huh?
 Huh?|Jake, you're playing Kompy's Kastle?
 Huh? Whoo! Uh... yes.|Winning this battle could take our reputation to a whole new level!
 Look, I'm a full-grown dog of my own, and I need to play Kompy's Kastle every day so I can maintain my rank.|So, you don't care about fighting the Farm?
 I never really take anything seriously... 'cept Kompy's Kastle.|Hi-yah! 
 I'm gonna break every bone in your body, then heal you later with that magical goo we got from the Cyclops' eye!  AAAH! |Ouch.
   Apologize!| Never! 
 I'm gonna turn up the juice!| And I'm gonna drink it! 
 Ouch!  Ow.  Oh!  Where are ya? Huh?|
 Huh? |Apologize for not taking training seriously!
 Come out, you chicken nug! | Huh!
 Ow.|
 Apologize to Kompy's Kastle!| No. You apologize for not taking training seriously.
 Ehh, gross!|
 AAH! My eyes!  Cheap move, you butt rag!|You! You're the cheap move!
 You! You're the cheap move!|Huh? Pants!  Huh!
 Oh!|I'm really gonna wipe you now.
  Bring it on, bro! |
 OUCH! Ow! O-o-o-ow! No bities!  Grrrrr! | I'm gonna down the Farm without you.
 I'm gonna knock down the Farm just so you'll never know the taste of downing the Farm!|Yo, guess what? Guess what, homey? I put in the time. I'ma make you mine.
 Yo, guess what? Guess what, homey? I put in the time. I'ma make you mine.|Yeah, that's right. Come and get this.
   So, what? Both at the same time? I'm cool. You gonna fight this, the Farm?  Okay.|Just me. I don't need this  clown-town.
 The only way you're gonna win is if you use your cheap moves.|
 Hey.  Come on! You gotta fight the dude!|Ah! I can't see! Walk me to the light!
 Yeah, that's what you get.| Cloud looks like a car. 
 Awaken to your dream, Finn and Jake.|Whoa. Who are you?
 I am the Dream Warrior. I've summoned you to hang with me in your together dream.|Are you gonna show us a move to beat the Farm?
 First, listen. Then, wake up.|Alright.
 Another name.|"Yeah. Don't you always call sweatpants ""give-up-on-life pants,"" Jake?"
 What is going on here, Dream Warrior?|Yeah, what's this all about?
 Ow!|Whoa. That... was a good nap.
 Hey, did you dream about Dream Warrior?|Yeah. What was he trying to tell us, exactly?
 I don't know; I didn't get it. But listen, man. I'm sorry I got mad at you. Who cares about my high score at Kompy? It ain't important.|No, man. It is important. Being the third best at something is math and deserves respect. Not like I did to Kompy. Anyway, I think we both got cranky after all that training.
 Well, good thing we're rested, 'cause now we can beat this beast.|Yeah. Oh, hey! Look!
 Dudes came back to watch us fight!|A'ight. This is it. Let's use what we learned in training.
 Dream Warrior was telling us what cheap moves to use on the Farm! Headlights mean eyes!|Mud in the eyes!
 Give-up-on-life pants!| Pull down his pants like you did to moi!
 Two golden apples!|Hm. I think I know what that means.
 Well, sure. I can make a wild guess.|You ready, man?
  Put your pants on.| Okay.
   | That was awesome! Alright, alright, my turn.    
   | 
   |  Gross!   No!  Princess? You, okay?
  | Uh, we can go get 'em.
  | 
  Oh! | 
  Flambo!  For a second, I thought the princess was farting.| Flambo, we need you to cast Flame Shield on us.
  |" These candles, must be ""They."""
    They smell like an old lady's bathroom.|  Hey! Don't disrespect my lady!
   I said that as a compliment. Like, it reminds me of grandma. I love my grandma.| 
  No one comes-sss here. Not since Flame Princess  leaved  the castle. Now guesssss what we're gonna kill Flame King with?|   A conspirator with a hiss voice!
  Even worsssse, we'll use icccce.|  And a conspirator with an untied shoe.
  | 
  Whoa!| Did you hear that?
  | Jake, come on! We gotta stop those guys from killing Flame Princess's dad!
  | Dirt bags! Where'd they go?
  | 
  | 
  SNACKS!  SNACKS! SNACKS! SNACKS!| 
  And most of actual murdersss...|  You hear that? It sounds like a voice with a hiss.
  The ssserpent that isss...| Stop!
  Dude, the voice| We must follow the voice
  To die, to sleep; To sleep|  Which way is the hiss voice coming from?
  |  Which way?
   Whooaaa.|  Jake!
   I'm okay. I think I hear that hissing voice down this way!|  Whooooo!   Why didn't you catch me?
   Vent ahead.|  Jake, I wanna see. 
    Thirty-seven...  Twenty-two|  No hissing.
  ...stuff.|  Whoa, it's him!
  ...talking about?|  I heard your hiss voice!
  ....snake on your shoulder.| What?
  |  
  | I'm sorry, I'm sorry.
    Oh. Psh, actors.|  What's going with the costumes?
   I have an idea. We'll go on stage, act like two conspirators, you will have one shoe untied, I'll talk with a hiss voice, we'll talk about how we want to kill the king, as we do these, we'll study the faces of the audience, a move of guilty reactions.|  That's brilliant!
  |  Hey conspirator!
  Hey co-conspirator!| Let's talk about how we're gonna kill the king.
  You think that's one of them.| Maybe, let's keep goin'. So, what are you packin'?
    | I thinks he's starting to crack. Water? You know what is more painful, if we pour ice in his ear. That's how we'll kill the Flame King.
  | What!? No!
  | Please, we were trying to warn you about the assassins!
  Hmmmm,  Huh?  Sire! It's your daughter's scented candles.| Ahh... ahh, ah.
  Sssstay sssstill.| Sssstill?
  | Untied shoelace?  It's them!
  Sssso long, ssssuckers!| NAKED BABIES! NAKED BABIES! NAKED BABIES!
  | NAKED BABIES! NAKED BABIES! NAKED BABIES!
  | NAKED BABIES! NAKED BABIES! NAKED BABIES!  We found 'em! The executioners are the real king killers!
  Release me!| Wait! So, you? You extinguished their dad?
  | And everyone is evil here?
   All evil.| Then, is Flame Princess
  She's evil.| Okay, so your daughter's evil. We've established that, but do you think if a good guy really liked her, could he, change her to good?
  Hmmmmm, well, there'd be penalties to her experience, if she acted out of alignment. But, yes, someone could change her.| 
 |You getting all bit up by mosquitoes?
 I don't know... I'm getting bit up by something.|Man, I can't believe you said this was a good swimming hole.
 I said it might be good. It's not, though.|True.
 Wanna just go?|Yeah. This place smells like green beans.
  I need your help. My people are in trouble. I'm a mudscamp.|Yeah, Woobeewoo! Of course we'll help. Why didn't you just say something before?
 I'm shy. It took me a while to work up the nerve.|Oh. Right on. You good now?
 Whoa, relax, buddy! You're talkin' to the right couple of guys.|Yeah, man! Me and Jake will bust this Mega Frog up, right up his bumble-stop. 
  Hmm.|Gettin' anything?
 Yeah, but it's hard to make out. Could just be some footprints... or an old doodie.|Word... Hey, I have an idea. We can use those lollipops to leave a trail. That way we won't get lost out here.
 Yeah, that's a great idea, man. I was just gonna throw 'em all on the ground anyway.  Whomp.  Whomp.  Whomp.  Whomp.  This way.  The thing with frogs is they got a real subtle smell. Kinda like when you open up a new thing of, um... CDRs.|Like... electric celery?
 Yeah... but subtler.  Mm-HMM! Just as I suspected.|Sweet. These'll take us right to him.  Come on, Jake! 
 Sweet. These'll take us right to him.  Come on, Jake! |Hmm. Huh. We've passed this butt tree, like, three times.
 Oh, yeah.|We should probably backtrack--get reoriented and all that.
 Word.  Wait, these prints are all messed up!|Whoa. Yeah! Guess we better follow the lollipops back. Where's those at?
  We ran out of those a while ago.|Snaaaap. Totally lost. Dang! Do you think maybe the Mega Frog made all those footprints on purpose? So we'd use up all our lollies and get totally lost?
 What? Nah, man! Frogs are mighty dumb, you know that. He's probably runnin' around like that 'cause he's lost!  Plus, we're not even lost. I just gotta stretch up past these trees and see where we're at.  Dang. It's all misty! It's kinda nice up here, though.  AAAAAAAAH! Man, forget that! I can't see anything through that mist. Plus, I got struck by lightning. We're just gonna have to set up camp and wait out the storm.|Cool! I call fire patrol!
 Do you remember how to make a fire with sticks?|Yeah, man--it's easy.  Uhhh, rub 'em together, right?
 I don't think it's workin', man.|I think I saw some guy do it like this once. 
 That's not it. I think you're on to something, though.|Yeah, here we go! 
 |Friction! 
  Come on, boys, come on!| Mwah!  I don't know.
  You just gotta get some momentum going.  AAAAAAH! Glob-globbing stick! Glob-globbing swamp!  AAAAAAAAAAAAH!  Oh, hey, you got the fire goin'. Right on!|Jake, how did you--?  What the--? It's the Mega Frog! Quick, put the fire out!
 Jake, how did you--?  What the--? It's the Mega Frog! Quick, put the fire out!|Jake, look!  He's just sittin' there! What's he doin' out there?
 I don't know, but let's pound him while he's vulnerable.|Okay, Sweetles.  What?
  Whoaa! | Hoi-YAAAH!
  Hoi-YAAAH!|Wha--?  Jake, wake up. Look!
 Ow, my head hurts.| Look at that thing!
 Oh, what?!  Yeah, . Hey, whoa! That gives me a great idea. We can make a Finn and Jake out of sticks and stuff and lure the Mega Frog out here, then ba-donk him right while he's all confused!|Yeaaaah! That's a great idea, man!  That's a great idea, Jake.
  Fuh-fuh-fuh... fuh-fuh-fuh-fuh-fuh-fuh-fuh-fuh... |What? What is it, Jake?
 FUH-FUH-FUH-FROOOOOOG!!|Wha--?  AAAAAAAAAAAAHH!  Jake!  RUN!  Jake, stretch us outta here!  Come on, Jake!
 Wha--?  AAAAAAAAAAAAHH!  Jake!  RUN!  Jake, stretch us outta here!  Come on, Jake!|Jake, let's hide in this cave.  Shmow-tow, dude! That guy's gonna dingle our bones into tapioca pudding!
 Aaaah! He's eating me! Aah! Gently eating me! No teeth! Mostly tongue!| Hmm? Hmmm... 
 ...it's hard to make out.|Hmmm. That's it!  Jake, wait!
  Oof! Sick, dude!  Huh?| I know how to stop him!  Mwah! 
 Ah, this is rad! I'm hot again! Thanks, little dudes!  I really appreciate it!|
 I don't get it, though... I kissed just about everything I could get my lips on. How come it only worked with you?|You can't break your own curse by kissin' somebody. Somebody's gotta kiss you.
 Oh. Weird. Well, thanks, man. I don't know a lot of dudes who'd do that to help a guy out.|Whatevs.
  Hm-huh? Hmm? Oh, yeah...  thanks...|Come on, you guys! Get off me, now.  Wah! Wah! Grah!
  Wah! Wah! Grah!|Jake?
 Huh?  Hey!  Now shoo, ya little creeps!  Oh... this is unusual.| Glip... driggle!
  Eh... What's with these super penguins?| I don't know! I'm guessing it's the Ice King.
  Well, where is he, then?|ICE KIIIIING! 
  Nice ice!|What's goin' on here, man? Call off your super bros.
  Well, that's great.|Where's the Ice King, Gunther?  Gunther?! What? Alright.  Whoa!
 WHAAAA!|Is this happening everywhere?
 I don't know—lemme see.  Whoop!  Dang!|What do ya see?
 Hold on.  Oh no! NO!|What, dude?!
  Hold on, man. Wait. Oh, Glob! This can't be happening!| Tell me!
 Eh, it's over. We've been conquered.|Who's been conquered?
 Everyone.| By the Ice King?
 No, dude! By Gunther.|Holy shmow! Gimme that!  Gunther's heading for the Candy Kingdom! We gotta save them! 
  Whoa, okay. |Hurry, Jake! Wait—I'm still in my pajayjays.
 Yo, Finn, are you seeing these penguins?|Yeah, it's Gunther! He's taking over the whole thing!
 What did he say?|He says your plan is bunk.
 Well, what's your plan?|I got a plan.
 You do?|When we get there, I'll do my plan in addition to your plan. Two plans. Laters.
 Uh, alright, so you're not gonna tell me your—| I'm outies!
 You're not gonna tell her the plan?|No, I gotta be mysterious.
 What? I thought you weren't into Bubblegum anymore.|I'm not. But this is how I act now with all the ladies, you see? I keep 'em in a state of confusion. That way, I've always got options in case Flame Princess doesn't work out.
 OH MY GOSH! Where is this coming from?!|"It's called ""future farming."" I read it in that book you have by Jay T. Doggzone."
 Jay T. Dogg—awww, dude! Don't read that book! It's gonna mess up your brain. I keep that book around for laughs. It's all really bad advice.|Oh, okay. I'll stop it, then.
 No, well... you can still be mysterious—that's fine.|What? Now I'm confused.
  Never mind—I didn't say nothin'.|Hey P-Bubs! Are you ready?
 Yes. The calvary  is standing by.|Cool. I'm gonna rally some citizens and do this other plan.
 Okay, but what—?| Good luck!
 But what'll happen when they run out of bottles?|I won't let that happen, Prubbs.
  We-e-e-e-e-enk...|Stay back! 
 Wait a minute!  Put away your weapons and we'll get you more bottles.|Peeb! There aren't any bottles left!
 Yup.|What, like, forever?
 Yes.|Bubb, your plan... bunks.
  What? What do you want? I don't—|He wants to smash the Gumball Guardian's head!
 Uh, dude? Where have you been?|Yeah, and why are you all jacked up?
  Bad biscuits make the baker broke, bro.| Ice King, you make our job too easy. You ready to roll on this fool?
  Ice King!| ...Wha?
  Oh... You got 'im.| Nice job, Marceline.
  It's alright. We're working on a song together. | You don't want us to...  ...for you?
  No, it's okay. You guys can go.| ...Okay... Well... I guess we'll see ya, then...
  What is goin' on in there?!|  ...I have no idea.
  You alright, buddy? Another nightmare?| Yeah. That dang snail again, man... Muckin' it up again. But... there were other guys this time, too. The bear was there, and some dogs, and Billy's lady, and Billy... and Billy was real scared of somethin' fierce, man. Somethin' real fierce! ...And the Cosmic Owl was there, too—kinda—screechin' it up.
  Whoa, the Cosmic Owl? What if that was a premonition dream, Finn?| You think?
  Could be... We better go tell Billy about it just in case. He'll know what to do.| Dang... Whoa...
  Come on! We better hurry!| Hello?  Billy?? 
  Huh!? WHAT THE HECK ARE YOU GUYS DOIN IN MY CRACK?! It's THREE O' CLOCK IN THE MORNING!| Oh, you know, just drop by to say hello... See what you been uhhhhhh  up to? What Uhhhh...How are these days?
  What? Why would I be dead?!| Hehehehe... Yeah..... Stupid.... Um....? I had a dream about a bear, and an old lady, and a snail, and you were there, and the snail killed you... or something...
  Was the Cosmic Owl there?| Uhhh... Yeah! On TV! Does that count?
  Finn?| Yeah?
  Are you ready to come with me on a mission to save all life from the Lich?| Yes.
   Cool!| Why do we have to snatch them? Can't we just ask them for 'em?
  No time. The fate of the world hangs in the balance.| Oh yeah... I forgot.
  You sure that's a gem?| I think so...
  I think so...|  So deep...
  Hmm...| I want candy!  You got anything in the saddlebag?
  GET OUT OF THERE!| The Enchiridion? How'd ya get this?!
  I found it in the mouth of a bear.| A bear?
  This book is REALLY important It has magical powers. Turn the little sword sideways.| WHOA!
  Exhibio Carnotum! | Whoa!
  Cool!| What is this this stuff?
  I'm going to push the Lich in there | Whoa... Cool!
  Let's go get that gem!| Yeah!
  AHHHHH!!!! WHO'S THERE?!| Princess! Princess! I need the gem from your crown!
  What the? UGH! GET OFF!  GET...OFF OF...ME! |  OOOOOWWWWW!!!!! 
  FINN! STOP!!! That's not Billy! IT'S THE LICH!!!| HUH?
  LICH ALERT! LICH ALERT!| BILLY!!!!!! 
  Quickly, child! We're running out of time!|  Lich! You... You messed Billy up! You just wanna mess me all up! Mess everyone up! You tricked me!
  No child! It's all true! The book has great power! I can make you live... Forever! Anything you want! Just give me that BOOK!  Grrrrrr....| Oh no no no no no no no NO MORE TRICKS! YOU'LL NEVER GET THIS BOOK! 
  NOOOOO!!! | Uhhhhh....
  Oh NO!!! Finn! WHAT DID YOU DO?!|  Huh.... What?
  Finn!  Finn! Will you come here please? Hurry! It's VERY Important!| Coming Mom!  Man, she seems steamed! Guess I done donked something up yet again... Come on, Jake.
  Oh, yeah.| Whaaaat?!?! He's gone!
  Oh! Sorry, sorry! I didn't mean nothin' by it! I mean, I have a lot of nasty friends. My uncle is nasty. I'm basically honorary nasty.|  Do you know where he went? We have to find our friend.
  Who knows?|  Uh. Oh.
  Actually, it depends on the wish I granted him.|" ""Wish""? "
  Yeah, he wished for the extinction of all life and I did it. I guess it changed his timeline or something?| WHAT?!?! OH GLOB!
  I wish that life wasn't anymore extinc—|  Whoa! Wait, Jake. Don't mess this up. Think about it
  Oh yeah. Jazz.| Hmmmm. 
  Hmmmm.| I got it! I wish... the Lich... never... even ever existed!
  I warned you, dingle.| I can hear the crown's promise of power. Invading my brain!  . Destiny Gang!  Yay! 
  Ah, dingle!| What's happening?!!  Bar Bar! I'll save you 
  Whoa. Alternate-wish-world-Finn is mad uglies!  Hey, I'm mad uglies too!| 
  What, what on earth did this?| I did this.
  No, that's not possible. I raised you better than that!| It's true...
  | I put out there fire... but I... also made the bomb go off. Urgh! The crown it compels me to- ice up everything!
  I put out there fire... but I... also made the bomb go off. Urgh! The crown it compels me to- ice up everything!|  Urghah! I'm sorry mom, dad, little sibling.  . I'm too dangerous... to be around.
  What are you doing?| Take them... far away Bar Bar.  Leave me! Leave me...
  Trami! Why am I cold and confused?!| Fear not, icicle child! For I have brought you into a new life!
  Eeh? The Mertens kid?| The age of ice and whispering snow! 
  Big D's chillin' over here, wasteland style.| Come back! Only I can protect ya'll.  Stay...
  Aaa! My kicks!| Can't you hear the- the whispers?
  I've taught you well, my traitorous gang.|  The voices... they tell me to freeze the world.
  Get off of me, you weirdo!| I am the end and the beginning. I am the hand of madness.  Jake?
  I warned you... you butt...| Raah!  
  |  Don't worry Jake, I'll share the secrets of ice and snow with thee. Heh heh, the power of frost! Power of frost! The power of fros-
  We're three nice dudes, havin' fun! We got warm bubble water, on our buns! I love this spa, and that's a fact! But if I stay too long, I get a pruny back! | Jake... Jake, what are you doing?
  | Back off my crown, Jake! I warn you!
   Ah ha ha ha ha!| 
   It worked!| Jake! This is serious! Something really messed up is happening!
   Okay, so- scooch! Okay so I’m still pretty sure this old book is some warlock spell book or something .|  Messed.
  Warlocks, dude!  You ready for some ancient feel good spell craft?| Yeah, I’ll try it. Could always stand to feel better.
   Leeeeet’s seeeee. You got your bibby?|  Check it! 
   I don’t feel like a good boy.| You sure you read that spell right?
   Yeah. Still though. Pretty sweet.| Wanna keep stickin’ our thumbs in stuff ‘til it works?
   Ooooh! What-a-good-boy-am-I! | Ooooh! What-a-good-boy-am-I! 
  Ooooh! What-a-good-boy-am-I! | Ooooh! What-a-good-boy-am-I! 
  Ooooh! What-a-good-boy-am-I! | Ooooh! What-a-good-boy-am-I! 
  Ooooh! What-a-good-boy-am-I! |  Ooooh! What-a-good-boy-a— Do you feel like a good boy? 
  No, I don’t.| Hey check out that gross toad! 
   Why so glum fellas?|  We stuck or thumbs in almost every hole today.
  I know a thing or two about good boys. Why don’t you try sticking your thumbs in these holes? |  Controllers?  Haha! Oh yeah! Super Good Boys!
   Ohhhh!  Ahhh!|  Oh! Oh, man! My throwing and catching disc! Jake! Wanna play throw-n-catch throwing a catching disc?!
   I call being dog and you be human!|  Alright
  Dog! Dog Dog Dog Dog!|" You mean ""bark."""
  What? Oh yeah.  Bark! Bark Bark Bark Bark! |  Hello, I am a human. Hello, I am a human.
  Ready! Bark!|  Back up a little!    And now for the perfect throw!  Ah, oh, hammies.   Peeeeerfeeeeeeect Throoooooow!
    More like the perfect blow! That blew.| Aw, come on! That was the wind! The wind blows!
   Hey, you want me to grab it?| Naw, I'll get it!
  Okay, but it's right here|  Sometimes a man  just has to retrieve his own disc. 
    Good luck buddy!| Thanks!
  Oh, well hello there my friend. What are you doing?| I'm trying to get to the top of this tree to get my disc.
  Oh, well maybe I can help!  Sit on me.| Uhhhh, What?
   Well sit on my needles and the shock will boost you high up into the air!  Sit on me, its okedo-its fine, go ahead.| I don't think that kinda thing really works, actually.
  You can do it if you believe in yourself! Sit on me.|  No. 
  Oooh, alriight, I'll shooow you! |  Ouch! 
  Sorry! I thought that would work.    I'm just no help at all. | Ooch!  Hmmm.   See! Ya did help! 
  Ooch!  Hmmm.   See! Ya did help! |  Poooooped!   Pooooooped!
  Oh I apologize for staring,  but I've never seen a chipmunk as big as you|  I'm not a chipmunk! I'm a human boy! I'm trying to climb the tree, I'm trying to get my disc back. But for now I'm takin' a break, because I am pooooped!
  You should eat an apple to reinvigorate your climbing ability. | No thanks, I'm good, just gonna rest my meat hooks. 
    Aw, that apple was cursed or something. I'm sorry, I didn't know. Oh, dear I ruined your day and now you'll never get your disc.|Naw, it's okay. I've been in worse situations. And even though I'm tiny, I do feel invigorated.
  Oh, good! What a relief!  Best of luck to you! | Bye! Bye!  Choo Choo!  Ya can't stop the train! Tree!   Woof. 
   Wohoah! You're tiny!| I ate a magic apple by mistake.
  Uhh! No wonder it's been takin' so long! Need any help?| Nah, I got it.
  Okay, well, I'm gonna walk Lady home. I'll be back later. Don't eat any more magic apples. Silly.| Yeah. No I won't.  I don't plan to.
 No, no, let's get you back.|  Blegh! DISC!   
   Blegh! DISC!   |  Woooo!  Where's my dingus? 
   Woooo!  Where's my dingus? |  Hey! Hey, buddy! Hey, have you seen  my disc! Hey, I'm over here! Hey!
  |  Hey! I'm over here! Have you seen my disc?
  Wrap it up good so I don't trip and fall on my face like the last time.| Heeey!  Musta could not heard me.  Doing, doing, doing.  Hey squirrel! 
   I think we all agree, the human must be stopped! |  Woah!
  Hey, yeah! We could put like a rug over it!|   My disc!  Uuuh, It's okay, III'm a chipmunk.
   Yaaaaaaaa! |   Huh? 
  What?| Uuuh, I didn't say anything.   What are they gonna do to me?
  What?|  What are they gonna do-
  I'm not allowed to talk to you.   Anyone and anything that winds up in the tree becomes part of the tree forever and ever. In the tree, part of the tree.| So does that mean I'm a prisoner forever?
  Well yes. And no. Are you a prisoner? Yes. Will you ever be free? No. In the tree, part of the tree. It's very simple.| Doesn't that mean that you can't leave the tree either?
  No I- Well yes and no. Am I allowed to leave the tree? No. Have I already left the tree? Am I miles away from the tree right now flying around like the flying squirrel that I am? Yes! In my mind! In- my- mind! |  Do you like it here?
"  Yeah!  Well, yes and no. Do I like the nuts and acorns? Yes. Do I like it when they put me down and say mean things like ""You're not a flying squirrel, you're just a regular squirrel! Nyaah!""? No. Do I wanna fly away from this place now? Yes. Would I make a break for it if I had a buddy to break out with? Yes."| Hey buddy.
  What?| Let's get outta here.  I got it!
  What are you doing regular, nonflying squirrel? Put that back!   How dare you!  Well alright! Everybody after those…two!|  Okay! I'm gonna throw the disc alongside the branch the we'll jump on it and fly away!
  Yeah!| Perfect! Throw!  Sooo, It's a- It's a good thing you're a flying squirrel. Huh.
  Well yes and no. |   Peace ooooout!  Okay! Activate your squirrel flaps!
  Oh! No- | Hey! We're flying! 
  Oohoho-Oh yeah! | Wooo!  Hey look! There's Jake!  Jake! 
  Is that gonna do it?  Get the C-listers out.  Good party. Oh, flip!  Look who’s hittin’ it off with the Ice King! | Hey, Jake, do you think you should date someone just like you or someone who’s like your opposite?
"  I don’t know. I’m the ""first come first serve"" kinda guy. Get in line, ladies! This Rainicorn thing can’t last forever!   I didn’t mean that. Don’t spread that around."| So it’s not good to weigh someone’s qualities against your own?
  Well, no. I mean, if you feel something, you feel something!  It’s not about personality matrixals and charts, it’s all about the bu-bumps in your heart!  You can’t stop the pumps and bumps! Pumps and bumps! Pumps and bumps! | Alright, well, what about BMO and Ice King?
  What about them? | Would they make a good couple?
  Whoa! Wait! Did BMO say something to you?| No no!
  Oh, I see. You’re being weird.| It’s not that weird! Come on!
  BMO and Ice King?| Yeah!
  You’re creepin’ me out. | I’m just thinkin’ out loud.  What, can’t think out loud?
  Oh, is that what you’re doing?| Yeah man! Pffft, jeez don’t be judgy.
  I’m not!| Yeah, you are!
  How could you know that?| I can hear it in your tone.
  You can? | Yeah, wise-guy.
   Hey, what’s that in your pants?|  What?! Not again!  Oh. I don’t know.  Whoa, look.
  Crazy.  Careful, dude.| What the--? 
  What the heck?! Are they alive?! | Hey, are you guys alive?  I don’t know, man, I think they’re some kind of magic toy.
  Maybe it’s black magic. Maybe we shouldn’t mess with them.| No, man, look! That’s you!  You’re totally shedding on the viola.
  Yeah, that’s good. How many more thingies are in there?|  Dude. Like a lot. Come on! Let’s check this out at the house. 
  I’ll make a special spagot  with a new sauce.| Sheesh. So many. PB, you hang out with Lady.  C-listers, go back in the bag. 
   Who’s in the C-list? | Tiffany, Donny.  Well, he’s okay.  Xergiok... a bunch o' these guys!
  That’s not very nice. | Don’t worry, man. They’ll get involved eventually.
  Involved with what? | I don’t know. Involved. Check out Lady and Princess Bubblegum!
   What are they talkin’ about?| It’s hard to say, but I think it’s got something to do with Lady being preggos .
  Whoa! What kinda narrative are you trying to create here?!| That’s your narrative, buddy.
  Alright, well, what else ya got goin’ on?| Hmm. Not much really. I got Ice King over here. 
  Ice King? He’s not C-list?|  Yeah, well, I saw his drum kit in here. Here we go.  Okay, jam out, little Ice King. 
   No. Don’t play with that hack. Aww, man. Hmm.  They’ve got good chemistry. Who’d have guessed?| Chemistry...
  Hey, Finn, eat the food before it gets cold.  I made a new sauce! Umm, earth to Finn, are you okay?| Yeees.
  Yeees.| Whoooooa.
   You’re up early.| I didn’t sleep. 
   You stay up all night readin’ trash books?  I told you, man. Those datin’ books.  That stuff is mess you up. | I’m not reading. I’m playing with the little wees.
  Oh, let me see little me.  Me look so lonely. Hey, Finn, pass me little Lady.| Uh, you guys broke up.
   Wha?| She’s with someone else now.
   Who?!| He’s a cool guy, don’t worry about it.
   Ahhhhhh!  What the ball, man?!|  What?
  What? What do ya think “what”?!| Come on, they’re not real, they’re like toys. These guys here, they’re goin’ out.  Pretty serious. And look at Choose Goose and Lollipop Girl. They’re still testing the waters.  But I think things are gonna work out. Check out Xergiok and Turtle P.  Weird. But cool. Right, Jake?
   I don’t like where you’re going with this. It ain’t wholesome. I’m gonna go to Lady’s for a few days. To clear my head. | Okay. Whatever whatevs.  Weird.  Huh?
  I’m back! I got over all that messed up stuff you did.  Yeesh. You okay, man?| I don’t know.
  What’s little Finn doing?| He’s... thinking.
   He looks sad. What’s he thinking about?| I don’t know. Probably lots of stuff.
  Where’s little Rainicorn?| Probably still crying.
  Wha?| She’s not handling the break-up very well.
   Aww.| PB's good, though.  After little Finn dumped her, she started working out. Looks like she’s really into it.
  This is messed up, dude. You’ve crossed the line from weird curiosity to some dark messed up stuff.|  I know!
   The destruction!  The depravity!  The wrongness of it all! I’m taking that bag back to the cliff where we found it. | No, man! I gotta fix this mess! Look at me, man! I’m staring into the shadow of my darkest mind hole! I gotta help him!
  You can’t! Just let them do their own biz, man!| I junked them up too hard though! I gotta step in!
  How would ya do that?|  I’m gonna talk to him.
  But he can’t hear you.| Yeah, why is that?
  Hmm. Maybe we’re on different dimensional planes and the border between our planes is like a two way mirror. So we can see him, but he can’t see us.|  Lemme try this. Finn! Can you hear me?  We’re connected! FINN!
  Try shakin’ him.| Why?
  Maybe we’re vibrating on different intervals. Try shakin’ him at different speeds and see if he responds.|  Okay. Fiiiiiiinn! Fiiiiiiiiiinn!
  Now go faster!| FIIIIIIIIIIIIIIIIINN!
  Faster!|  FIIIIIIIIIIIIIIIIINN! 
  Go slower, he saw you!| Okay.  Fiiiinn. Can you hear me?
  Whoa! Neat!| I made you do those crummy things. I’m why yous guys is fighting. I’m the big you. I came to apologize. I will never interfere with your lives again.  Don’t worry I will take care of it.  Sorry, my arm got tired.  Never mind. It’ll be fine. Goodbye, little Finn! I’m not coming back!
  Now what?|  Hey, ladies! This is big Finn! I caused all the problems! It wasn’t anyone’s fault! Don’t be mad at each other! Have a… dance party! Okay, goodbye! I’m not coming back! 
  Puppies! Puppies! Puppies!|  Hey Jake! Hey Lady! We came to see your new pups!
  Charlie,  T.V.,  Viola,  Kim Kil Whan, and this sweet little lady is Jake Jr.!|  Aww! Oh! That's a butt.  Preeeeetty cute!
   Yeah, Finn. I love all my little babies so much.  I'm not gonna let anything happen to them!|  Dude! Real talk! Are you worried about bein' a dad?
  It's Mom's manual for raising beautiful children.| Oh dude, Mom! She'd have been so proud to see you and your pups. 
  Aw, BMO! When was the last time you washed your controller?  WHOA! |  We were just wrestling! Cool uncle wrestling.
  Um, ah, I-I think it's gettin' kinda late. Um, puppies need sleep.| Okay. 
   Uhhh, Finn, you should go home. I'm gonna live with Lady and the pups from now on. I'm a dad now. It's a pretty big whoop. | Oh. 
